term,market rate,shift,shifted rate,zero rate,discount
0.25,2.355,0,2.355,2.355,0.994018
0.5,2.31485,0,2.31485,2.39093,0.991847
0.75,2.45922,0,2.45922,2.43439,0.985719
1,2.63829,0,2.63829,2.49777,0.979189
1.25,2.76204,0,2.76204,2.57371,0.9724
1.5,2.86549,0,2.86549,2.64129,0.965407
1.75,2.92864,0,2.92864,2.69322,0.958313
2,2.75675,0,2.75675,2.76027,0.946648
3,2.8555,0,2.8555,2.86081,0.918169
4,2.9021,0,2.9021,2.90826,0.890856
5,2.9289,0,2.9289,2.9355,0.86441
6,2.94625,0,2.94625,2.95312,0.838709
7,2.9598,0,2.9598,2.96697,0.813701
8,2.97375,0,2.97375,2.9816,0.789175
9,2.988,0,2.988,2.99682,0.765001
10,3.0015,0,3.0015,3.01149,0.74163
11,3.01478,0,3.01478,3.02612,0.718651
12,3.02375,0,3.02375,3.03584,0.696587
15,3.04125,0,3.04125,3.0546,0.634569
20,3.0505,0,3.0505,3.06284,0.544388
25,3.0363,0,3.0363,3.04036,0.470307
30,3.014,0,3.014,3.00592,0.408581
40,2.974,0,2.974,2.94115,0.311021
50,2.92875,0,2.92875,2.8607,0.241662
